sample_id,dataset,source_partition,label_field,label_id,label_name,raw_index,relative_path
mufac-train-F0001_AGE_D_18_a1.jpg,mufac,custom_train,age_class,a,a,0,F0001_AGE_D_18_a1.jpg
mufac-train-F0001_AGE_D_18_a2.jpg,mufac,custom_train,age_class,a,a,1,F0001_AGE_D_18_a2.jpg
mufac-train-F0001_AGE_D_18_a3.jpg,mufac,custom_train,age_class,a,a,2,F0001_AGE_D_18_a3.jpg
mufac-train-F0001_AGE_D_18_a4.jpg,mufac,custom_train,age_class,a,a,3,F0001_AGE_D_18_a4.jpg
mufac-train-F0001_AGE_D_18_b1.jpg,mufac,custom_train,age_class,b,b,4,F0001_AGE_D_18_b1.jpg
mufac-train-F0001_AGE_D_18_b2.jpg,mufac,custom_train,age_class,b,b,5,F0001_AGE_D_18_b2.jpg
mufac-train-F0001_AGE_D_18_c1.jpg,mufac,custom_train,age_class,c,c,6,F0001_AGE_D_18_c1.jpg
mufac-train-F0001_AGE_D_18_c2.jpg,mufac,custom_train,age_class,c,c,7,F0001_AGE_D_18_c2.jpg
mufac-train-F0001_AGE_D_18_c3.jpg,mufac,custom_train,age_class,c,c,8,F0001_AGE_D_18_c3.jpg
mufac-train-F0001_AGE_GM_75_d1.jpg,mufac,custom_train,age_class,d,d,9,F0001_AGE_GM_75_d1.jpg
mufac-train-F0001_AGE_GM_75_e2.jpg,mufac,custom_train,age_class,e,e,10,F0001_AGE_GM_75_e2.jpg
mufac-train-F0001_AGE_GM_75_f1.jpg,mufac,custom_train,age_class,f,f,11,F0001_AGE_GM_75_f1.jpg
mufac-train-F0001_AGE_GM_75_g2.jpg,mufac,custom_train,age_class,g,g,12,F0001_AGE_GM_75_g2.jpg
mufac-train-F0001_AGE_M_45_b2.jpg,mufac,custom_train,age_class,b,b,13,F0001_AGE_M_45_b2.jpg
mufac-train-F0001_AGE_M_45_c1.jpg,mufac,custom_train,age_class,c,c,14,F0001_AGE_M_45_c1.jpg
mufac-train-F0001_AGE_M_45_d1.jpg,mufac,custom_train,age_class,d,d,15,F0001_AGE_M_45_d1.jpg
mufac-train-F0001_AGE_M_45_d3.jpg,mufac,custom_train,age_class,d,d,16,F0001_AGE_M_45_d3.jpg
mufac-train-F0001_AGE_M_45_e2.jpg,mufac,custom_train,age_class,e,e,17,F0001_AGE_M_45_e2.jpg
mufac-train-F0002_AGE_GM_75_d1.jpg,mufac,custom_train,age_class,d,d,18,F0002_AGE_GM_75_d1.jpg
mufac-train-F0002_AGE_GM_75_d2.jpg,mufac,custom_train,age_class,d,d,19,F0002_AGE_GM_75_d2.jpg
mufac-train-F0002_AGE_GM_75_e1.jpg,mufac,custom_train,age_class,e,e,20,F0002_AGE_GM_75_e1.jpg
mufac-train-F0002_AGE_GM_75_f2.jpg,mufac,custom_train,age_class,f,f,21,F0002_AGE_GM_75_f2.jpg
mufac-train-F0002_AGE_GM_75_f3.jpg,mufac,custom_train,age_class,f,f,22,F0002_AGE_GM_75_f3.jpg
mufac-train-F0002_AGE_GM_75_g1.jpg,mufac,custom_train,age_class,g,g,23,F0002_AGE_GM_75_g1.jpg
mufac-train-F0002_AGE_M_45_b1.jpg,mufac,custom_train,age_class,b,b,24,F0002_AGE_M_45_b1.jpg
mufac-train-F0002_AGE_M_45_c1.jpg,mufac,custom_train,age_class,c,c,25,F0002_AGE_M_45_c1.jpg
mufac-train-F0002_AGE_M_45_c2.jpg,mufac,custom_train,age_class,c,c,26,F0002_AGE_M_45_c2.jpg
mufac-train-F0002_AGE_M_45_d2.jpg,mufac,custom_train,age_class,d,d,27,F0002_AGE_M_45_d2.jpg
mufac-train-F0002_AGE_M_45_e1.jpg,mufac,custom_train,age_class,e,e,28,F0002_AGE_M_45_e1.jpg
mufac-train-F0002_AGE_S_16_a1.jpg,mufac,custom_train,age_class,a,a,29,F0002_AGE_S_16_a1.jpg
mufac-train-F0002_AGE_S_16_a2.jpg,mufac,custom_train,age_class,a,a,30,F0002_AGE_S_16_a2.jpg
mufac-train-F0002_AGE_S_16_a3.jpg,mufac,custom_train,age_class,a,a,31,F0002_AGE_S_16_a3.jpg
mufac-train-F0002_AGE_S_16_a4.jpg,mufac,custom_train,age_class,a,a,32,F0002_AGE_S_16_a4.jpg
mufac-train-F0002_AGE_S_16_b1.jpg,mufac,custom_train,age_class,b,b,33,F0002_AGE_S_16_b1.jpg
mufac-train-F0002_AGE_S_16_b2.jpg,mufac,custom_train,age_class,b,b,34,F0002_AGE_S_16_b2.jpg
mufac-train-F0002_AGE_S_16_b3.jpg,mufac,custom_train,age_class,b,b,35,F0002_AGE_S_16_b3.jpg
mufac-train-F0002_AGE_S_16_b4.jpg,mufac,custom_train,age_class,b,b,36,F0002_AGE_S_16_b4.jpg
mufac-train-F0002_AGE_S_16_c1.jpg,mufac,custom_train,age_class,c,c,37,F0002_AGE_S_16_c1.jpg
mufac-train-F0002_AGE_S_16_c2.jpg,mufac,custom_train,age_class,c,c,38,F0002_AGE_S_16_c2.jpg
mufac-train-F0003_AGE_D_14_a2.jpg,mufac,custom_train,age_class,a,a,39,F0003_AGE_D_14_a2.jpg
mufac-train-F0003_AGE_D_14_a5.jpg,mufac,custom_train,age_class,a,a,40,F0003_AGE_D_14_a5.jpg
mufac-train-F0003_AGE_D_14_a6.jpg,mufac,custom_train,age_class,a,a,41,F0003_AGE_D_14_a6.jpg
mufac-train-F0003_AGE_D_14_a7.jpg,mufac,custom_train,age_class,a,a,42,F0003_AGE_D_14_a7.jpg
mufac-train-F0003_AGE_D_14_b2.jpg,mufac,custom_train,age_class,b,b,43,F0003_AGE_D_14_b2.jpg
